founder,company,location,employees
Sergei Korolev,S.P. Korolev Rocket and Space Corporation Energia,Korolyov,7791
Thierry Hermès,Hermès International S.A.,Paris,8370
Attila Dogudan,Do & Co,Vienna,8660
Momofuku Ando,Nissin Food Products,Yodogawa-ku,7408
Johnnie Bryan Hunt,J. B. Hunt,Lowell,16500
Maksim Nogotkov,Svyaznoy,Moscow,19000
"George Villiers, 6th Earl of Clarendon",British Broadcasting Corporation,London,20591
"George Villiers, 6th Earl of Clarendon",British Broadcasting Corporation,London,20916
Anne Lauvergeon,Areva,Paris,18000
Jim Ratcliffe,Ineos,London,19000
Vikram Sarabhai,Indian Space Research Organisation,Bengaluru,16072
Cher Wang,HTC Corporation,New Taipei City,17280
Günther Fielmann,Fielmann,Barmbek-Süd,18522
Oleg Tinkov,Tinkoff Bank,Moscow,18000
Duncan MacMillan,Bloomberg L.P.,Bloomberg Tower,19000
Johann Rupert,Richemont,Bellevue,19137
Cecil John Rhodes,De Beers,London,20000
Dwight D. Eisenhower,National Aeronautics and Space Administration,"Washington, D.C.",17336
"John Reith, 1st Baron Reith",British Broadcasting Corporation,London,20591
"John Reith, 1st Baron Reith",British Broadcasting Corporation,London,20916
Reinhard Zinkann,Miele,Gütersloh,20100
Reinhard Zinkann,Miele,Gütersloh,19465
Dwight D. Eisenhower,Central Intelligence Agency,George Bush Center for Intelligence,21575
Anne Lauvergeon,Areva,Courbevoie,18000
Harry S. Truman,Central Intelligence Agency,George Bush Center for Intelligence,21575
William Wrigley,Wrigley Company,Chicago,16000
Kaspar Winkler,Sika AG,Baar,19366
Charles-Louis Havas,Havas,Puteaux,18966
Theresa May,Hearst,Hearst Tower,20000
Johann Rupert,Richemont,Geneva,19137
Lei Jun,Xiaomi,Beimao,16683
Leon Feffer,Suzano Papel e Celulose,Salvador,17000
Jayanta Mongkol,Siam Commercial Bank,Bangkok,20000
Michael Bloomberg,Bloomberg L.P.,Bloomberg Tower,19000
Dee Hock,Visa Inc.,Foster City,17000
Karl Wlaschek,Billa,Wiener Neudorf,18400
J. R. D. Tata,Air India,New Delhi,20956
Al Schwimmer,Israel Aerospace Industries,Lod,16500
Helmut Wagner,Rehau Group,Rehau,19134
Igor Kolomoyskiy,PrivatBank,Dnipro,20936
Christian IV of Denmark,Post Danmark,Copenhagen,21163
Marc Benioff,Salesforce.com,Salesforce Tower,16000
Marc Benioff,Salesforce.com,Salesforce Tower,19000
Marvin Bower,McKinsey & Company,New York City,17000
David Neeleman,JetBlue Airways,Long Island City,20000
Thomas Secunda,Bloomberg L.P.,Bloomberg Tower,19000
Troels Holch Povlsen,Bestseller,Brande,17000
Juan Miguel Villar Mir,Obrascón Huarte Lain,Madrid,22580
Karl Toosbuy,ECCO,Bredebro,16328
Henadiy Boholyubov,PrivatBank,Dnipro,20936
Kazuo Inamori,KDDI,Tokyo,18418
Lin Bin,Xiaomi,Beimao,16683
Anita Roddick,The Body Shop,Littlehampton,17000
Fred Trump,The Trump Organization,Trump Tower,22500
James O. McKinsey,McKinsey & Company,New York City,17000
Torakusu Yamaha,Yamaha Corporation,Hamamatsu,20348
Paul Ricard,Pernod Ricard,Paris,18421
Robert M. Widney,University of Southern California,Los Angeles,19035
Aydın Doğan,Doğan Holding,Istanbul,16467
Jay Van Andel,Amway,Michigan,17000
William J. Donovan,Central Intelligence Agency,George Bush Center for Intelligence,21575
Shimon Peres,Israel Aerospace Industries,Lod,16500
Choti Lamsam,Kasikornbank,Bangkok,16881
Thomas Cook,Thomas Cook Group,Peterborough,21800
Homer Stryker,Stryker Corporation,Kalamazoo,22000
Andrey Melnichenko,EuroChem,Zug,21800
Vittorio Merloni,Indesit,Fabriano,16000
Henry Dunant,French Red Cross,Paris,18000
Jacques Servier,Laboratoires Servier,Suresnes,21000
Serhiy Tihipko,PrivatBank,Dnipro,20936
James H. McGraw,S&P Global,New York City,17000
Jimmy Haslam,Pilot Flying J,Knoxville,20000
Richard DeVos,Amway,Michigan,17000
Leonhard Tietz,Kaufhof,Cologne,21500
Bhogaraju Pattabhi Sitaramayya,Andhra Bank,Hyderabad,18656
Silvio Berlusconi,Fininvest,Milan,17918
Oleg Tinkov,Tinkoff Bank,1st Volokolamsky Passage,18000
Carl Miele,Miele,Gütersloh,20100
Carl Miele,Miele,Gütersloh,19465
Elizabeth Trump,The Trump Organization,Trump Tower,22500
Paul Carl Beiersdorf,Beiersdorf,Hamburg,17659
Igor Sikorsky,Sikorsky Aircraft Corporation,Stratford,15975
Bruce Henderson,Boston Consulting Group,Boston,18500
Charles Zegar,Bloomberg L.P.,Bloomberg Tower,19000
David Ogilvy,Ogilvy,New York City,16000
Gérard Blitz,Club Med,France,20333
Gérard Blitz,Club Med,Paris,20333
Harvey Washington Wiley,Food and Drug Administration,White Oak,17468
Harry Markowitz,CACI,Arlington County,20000
Allen Welsh Dulles,Central Intelligence Agency,George Bush Center for Intelligence,21575
Éleuthère Irénée du Pont,DuPont,Wilmington,98000
Gordon Moore,Intel,Santa Clara,106000
Carl von Thieme,Allianz SE,Munich,140253
Eliphalet Adams Bulkeley,Aetna,Hartford,49500
Bob Miner,Oracle Corporation,Redwood Shores,122000
Steve Wozniak,Apple Inc.,Cupertino,137000
Daniel Best,Caterpillar Inc.,Peoria,104000
Camillo Castiglioni,BMW,BMW Headquarters,134563
Ludwig Bamberger,Deutsche Bank,Frankfurt am Main,97535
John Lewis Ricardo,BT Group,BT Centre,104399
Masaru Ibuka,Sony,Minato-ku,128400
André Michelin,Michelin,Clermont-Ferrand,105700
Friedrich Bayer,Bayer,Leverkusen,99820
William Procter,Procter & Gamble,Cincinnati,105000
G. Stanley Hall,American Psychological Association,"Washington, D.C.",134000
Ernest Mercier,Total S.A.,Courbevoie,100000
Friedrich Engelhorn,BASF,Ludwigshafen,115490
James Gamble,Procter & Gamble,Cincinnati,105000
Henry A. Strong,Eastman Kodak,Rochester,97222
Steve Jobs,Apple Inc.,Cupertino,137000
Ed Oates,Oracle Corporation,California,122000
Larry Ellison,Oracle Corporation,Redwood Shores,122000
Robert Wood Johnson I,Johnson & Johnson,New Brunswick,134000
Wilhelm Finck,Allianz SE,Munich,140253
Rex Maughan,Forever Living Products,Scottsdale,100000
Leo Mechelin,Nokia,Espoo,103083
Akio Morita,Sony,Minato-ku,128400
Joseph Tsai,Alibaba Group,Hangzhou,50097
Paul Galvin,Motorola,Schaumburg,53000
Genichi Kawakami,Yamaha Motor Company,Iwata,53306
Carl Bertelsmann,Bertelsmann,Gütersloh,117249
Alan Shugart,Seagate Technology,Cupertino,57900
Dirk Roßmann,Rossmann,Burgwedel,54500
Martin Sorrell,WPP plc,Saint Helier,130000
Robert Noyce,Intel,Santa Clara,106000
Charles Fleetford Sise,Bell Canada,Montreal,55250
William R. Gorham,Nissan,Yokohama,138910
Herb Kelleher,Southwest Airlines,Dallas,59793
Morris Chang,TSMC,Hsinchu Science Park,48000
John Warren Butterfield,American Express,200 Vesey Street,56000
Shin Kyuk-ho,Lotte,Seoul,60000
Henry Wells,American Express,200 Vesey Street,56000
William Fothergill Cooke,BT Group,BT Centre,104399
Jack Ma,Alibaba Group,Hangzhou,50097
Warren S. Johnson,Johnson Controls,Cork,130000
Yoshisuke Aikawa,Nissan,Yokohama,138910
Gerry Whent,Vodafone,London,108271
James Wood Johnson,Johnson & Johnson,New Brunswick,134000
Bob Miner,Oracle Corporation,California,122000
Lázaro Cárdenas,Pemex,Mexico City,138215
Joseph Tsai,Alibaba Group,George Town,50097
Ronald Wayne,Apple Inc.,Cupertino,137000
Rollin King,Southwest Airlines,Dallas,59793
Gerry Whent,Vodafone,Newbury,108271
Fredrik Idestam,Nokia,Espoo,103083
Arthur E. Bartlett,Century 21 Real Estate,Madison,101000
Conrad Hilton,Hilton Hotels & Resorts,McLean,130000
Amancio Ortega,Inditex,Arteixo,103201
Charles E. Merrill,Merrill Lynch,New York City,60000
Vagit Alekperov,Lukoil,Moscow,150000
Hugh J. Chisholm,International Paper,Memphis,58000
Den Kenjirō,Nissan,Yokohama,138910
Edward Mead Johnson,Johnson & Johnson,New Brunswick,134000
Ed Oates,Oracle Corporation,Redwood Shores,122000
Franz Josef Popp,BMW,BMW Headquarters,134563
Wang Chuanfu,BYD Auto,Shenzhen,60000
Ernest Harrison,Vodafone,London,108271
Larry Ellison,Oracle Corporation,California,122000
Karl Rapp,BMW,BMW Headquarters,134563
George Eastman,Eastman Kodak,Rochester,97222
Édouard Michelin,Michelin,Clermont-Ferrand,105700
Albert Butz,Honeywell,Morris Plains,128000
Götz Werner,dm-drogerie markt,Karlsruhe,60000
Mark C. Honeywell,Honeywell,Morris Plains,128000
Jack Ma,Alibaba Group,George Town,50097
Karl Benz,Daimler-Benz,Stuttgart,149800
Morris Chang,TSMC,Hsinchu,48000
Gottlieb Daimler,Daimler-Benz,Stuttgart,149800
Ernest Harrison,Vodafone,Newbury,108271
Axel Wenner-Gren,Electrolux,Stockholm,58000
John VI of Portugal,Bank of Brazil,Brasília,111628
Bertil Hult,EF Education First,Lucerne,52000
Martin Sorrell,WPP plc,London,130000
Paul G. Allen,Microsoft,Redmond,144000
Kiichiro Toyoda,Aisin Seiki,Kariya,100000
Martin Sorrell,WPP plc,Dublin,130000
Bill Gates,Microsoft,Redmond,144000
Tokuji Hayakawa,Sharp Corporation,Ōsaka,50253
William Fargo,American Express,200 Vesey Street,56000
Henry A. Clark,Eastman Kodak,Rochester,97222
Jean-Baptiste Colbert,Saint-Gobain,Courbevoie,185364
Rudolf Dassler,Puma SE,Herzogenaurach,10836
Fernand Renault,Renault,Boulogne-Billancourt,187345
Samuel van den Bergh,Unilever,Rotterdam,168000
Marc Rich,Glencore,Baar,156468
Antonius Johannes Jurgens,Unilever,Rotterdam,168000
Eugène Schneider,Schneider Electric,Rueil-Malmaison,155000
William Boeing,Boeing,Chicago,153000
Samuel van den Bergh,Unilever,Kellen,168000
Thomas Sutherland,HSBC Holdings,8 Canada Square,228000
Charles Stewart Mott,General Motors,Detroit,216000
Kagemasa Kozuki,Konami,Tokyo,10392
Thomas Sutherland,HSBC Holdings,Hong Kong,228000
Antonius Johannes Jurgens,Unilever,Kellen,168000
Henry Ford,Ford Motor Company,Ford World Headquarters,201000
Erling Persson,H&M,Stockholm,177000
Friedrich Krupp,Friedrich Krupp AG,Essen,160000
Charles Stewart Mott,General Motors,Michigan,216000
James Sinegal,Costco,Issaquah,254000
John Jahr,Gruner + Jahr,Hamburg,10079
John Jahr,Gruner + Jahr,Hamburg,10551
Konosuke Matsushita,Panasonic Corporation,Kadoma,257533
J. P. Morgan,JPMorgan Chase,270 Park Avenue,256100
Takeshi Mitarai,Canon Inc.,Krefeld,194151
Samuel Lowell Price,PricewaterhouseCoopers,London,250930
Takeshi Mitarai,Canon Inc.,Ōta-ku,194151
Petr Kellner,PPF Group,Amsterdam,154000
Oscar Lamm,Alfa Laval,Lund,10800
Charles Lewis Tiffany,Tiffany & Co.,New York City,10600
Donald Fisher,"Gap, Inc.",San Francisco,152000
